1,Timebands,Digi 24,Antena 3 CNN
2,02:00 - 02:15,0,0.19
3,02:15 - 02:30,0,0.21
4,02:30 - 02:45,0,0.21
5,02:45 - 03:00,0,0.21
6,03:00 - 03:15,0,0.15
7,03:15 - 03:30,0,0
8,03:30 - 03:45,0,0
9,03:45 - 04:00,0,0
10,04:00 - 04:15,0,0
11,04:15 - 04:30,0,0.02
12,04:30 - 04:45,0.07,0.04
13,04:45 - 05:00,0.09,0
14,05:00 - 05:15,0.09,0
15,05:15 - 05:30,0.09,0.01
16,05:30 - 05:45,0.17,0.15
17,05:45 - 06:00,0.35,0.14
18,>>> 2:00 - 6:00,0.05,0.08
19,06:00 - 06:15,0.47,0.06
20,06:15 - 06:30,0.28,0.07
21,06:30 - 06:45,0.27,0
22,06:45 - 07:00,0.24,0.15
23,07:00 - 07:15,0.3,0.2
24,07:15 - 07:30,0.39,0.13
25,07:30 - 07:45,0.43,0.12
26,07:45 - 08:00,0.23,0.13
27,08:00 - 08:15,0.04,0.54
28,08:15 - 08:30,0.13,0.61
29,08:30 - 08:45,0.06,0.4
30,08:45 - 09:00,0.19,0.32
31,>>> 6:00 - 9:00,0.25,0.23
32,09:00 - 09:15,0.33,0.27
33,09:15 - 09:30,0.36,0.23
34,09:30 - 09:45,0.59,0.27
35,09:45 - 10:00,0.28,0.38
36,10:00 - 10:15,0.19,0.46
37,10:15 - 10:30,0.35,0.84
38,10:30 - 10:45,0.45,0.81
39,10:45 - 11:00,0.25,0.6
40,11:00 - 11:15,0.39,0.43
41,11:15 - 11:30,0.79,0.44
42,11:30 - 11:45,0.59,0.4
43,11:45 - 12:00,0.6,0.44
44,>>> 9:00 - 12:00,0.43,0.46
45,12:00 - 12:15,0.63,0.59
46,12:15 - 12:30,0.42,0.73
47,12:30 - 12:45,0.7,0.74
48,12:45 - 13:00,0.68,0.56
49,13:00 - 13:15,0.6,0.57
50,13:15 - 13:30,0.6,0.74
51,13:30 - 13:45,0.58,0.71
52,13:45 - 14:00,0.49,0.75
53,14:00 - 14:15,0.4,0.87
54,14:15 - 14:30,0.53,0.79
55,14:30 - 14:45,0.63,0.65
56,14:45 - 15:00,0.59,0.61
57,>>> 12:00 - 15:00,0.57,0.69
58,15:00 - 15:15,0.32,0.66
59,15:15 - 15:30,0.29,0.74
60,15:30 - 15:45,0.32,0.86
61,15:45 - 16:00,0.42,1.29
62,>>> 15:00 - 16:00,0.34,0.89
63,16:00 - 16:15,0.34,1.08
64,16:15 - 16:30,0.23,1.21
65,16:30 - 16:45,0.28,1.06
66,16:45 - 17:00,0.36,1.2
67,17:00 - 17:15,0.68,1.01
68,17:15 - 17:30,0.23,0.95
69,17:30 - 17:45,0.29,1.18
70,17:45 - 18:00,0.56,1.2
71,18:00 - 18:15,0.75,1.37
72,18:15 - 18:30,1.01,1.33
73,18:30 - 18:45,1,1.32
74,18:45 - 19:00,0.72,0.62
75,>>> 16:00 - 19:00,0.54,1.13
76,19:00 - 19:15,0.7,0.81
77,19:15 - 19:30,0.53,1.08
78,19:30 - 19:45,0.48,1.21
79,19:45 - 20:00,0.59,0.99
80,>>> 19:00 - 20:00,0.57,1.02
81,20:00 - 20:15,0.7,1.15
82,20:15 - 20:30,0.72,0.97
83,20:30 - 20:45,0.42,0.96
84,20:45 - 21:00,0.3,1.04
85,21:00 - 21:15,0.43,1.02
86,21:15 - 21:30,0.74,0.98
87,21:30 - 21:45,0.67,0.87
88,21:45 - 22:00,0.48,0.64
89,22:00 - 22:15,0.64,0.6
90,22:15 - 22:30,0.3,0.64
91,22:30 - 22:45,0.07,0.45
92,22:45 - 23:00,0.18,0.28
93,>>> 20:00 - 23:00,0.47,0.8
94,23:00 - 23:15,0.13,0.24
95,23:15 - 23:30,0.18,0.11
96,23:30 - 23:45,0.22,0.12
97,23:45 - 24:00,0.2,0.3
98,24:00 - 24:15,0.22,0.33
99,24:15 - 24:30,0.29,0.32
100,24:30 - 24:45,0.28,0.34
101,24:45 - 25:00,0.18,0.28
102,>>> 23:00 - 25:00,0.21,0.25
103,25:00 - 25:15,0.12,0.26
104,25:15 - 25:30,0.09,0.25
105,25:30 - 25:45,0.09,0.24
106,25:45 - 26:00,0.11,0
107,>>> 25:00 - 26:00,0.1,0.19
108,Whole day,0.35,0.54
