1,Timebands,Digi 24,Antena 3 CNN
2,02:00 - 02:15,0.19,0.03
3,02:15 - 02:30,0.11,0
4,02:30 - 02:45,0.11,0
5,02:45 - 03:00,0.11,0
6,03:00 - 03:15,0.11,0
7,03:15 - 03:30,0.12,0
8,03:30 - 03:45,0.19,0
9,03:45 - 04:00,0.19,0.01
10,04:00 - 04:15,0.19,0
11,04:15 - 04:30,0.19,0
12,04:30 - 04:45,0.19,0
13,04:45 - 05:00,0.14,0.06
14,05:00 - 05:15,0.24,0
15,05:15 - 05:30,0.12,0
16,05:30 - 05:45,0.1,0
17,05:45 - 06:00,0.25,0.13
18,>>> 2:00 - 6:00,0.16,0.01
19,06:00 - 06:15,0.32,0.12
20,06:15 - 06:30,0.26,0.03
21,06:30 - 06:45,0.25,0.06
22,06:45 - 07:00,0.28,0.09
23,07:00 - 07:15,0.08,0.09
24,07:15 - 07:30,0.18,0.06
25,07:30 - 07:45,0.22,0.04
26,07:45 - 08:00,0.23,0.11
27,08:00 - 08:15,0.22,0.17
28,08:15 - 08:30,0.24,0.2
29,08:30 - 08:45,0.36,0.27
30,08:45 - 09:00,0.54,0.17
31,>>> 6:00 - 9:00,0.27,0.12
32,09:00 - 09:15,0.55,0.13
33,09:15 - 09:30,0.44,0.12
34,09:30 - 09:45,0.45,0.13
35,09:45 - 10:00,0.44,0.2
36,10:00 - 10:15,0.43,0.24
37,10:15 - 10:30,0.34,0.27
38,10:30 - 10:45,0.17,0.41
39,10:45 - 11:00,0.14,0.32
40,11:00 - 11:15,0.3,0
41,11:15 - 11:30,0.23,0.01
42,11:30 - 11:45,0.21,0.03
43,11:45 - 12:00,0.13,0.12
44,>>> 9:00 - 12:00,0.32,0.16
45,12:00 - 12:15,0.08,0.1
46,12:15 - 12:30,0.2,0.27
47,12:30 - 12:45,0.08,0.48
48,12:45 - 13:00,0.18,0.41
49,13:00 - 13:15,0.1,0.35
50,13:15 - 13:30,0.1,0.37
51,13:30 - 13:45,0.04,0.36
52,13:45 - 14:00,0.07,0.12
53,14:00 - 14:15,0.15,0.17
54,14:15 - 14:30,0.06,0.54
55,14:30 - 14:45,0.12,0.09
56,14:45 - 15:00,0.06,0.24
57,>>> 12:00 - 15:00,0.1,0.29
58,15:00 - 15:15,0.06,0.24
59,15:15 - 15:30,0.08,0.25
60,15:30 - 15:45,0.16,0.29
61,15:45 - 16:00,0.34,0.14
62,>>> 15:00 - 16:00,0.16,0.23
63,16:00 - 16:15,0.4,0.41
64,16:15 - 16:30,0.57,0.52
65,16:30 - 16:45,0.48,0.44
66,16:45 - 17:00,0.39,0.46
67,17:00 - 17:15,0.24,0.55
68,17:15 - 17:30,0.07,0.21
69,17:30 - 17:45,0.29,0.74
70,17:45 - 18:00,0.39,0.78
71,18:00 - 18:15,0.51,0.79
72,18:15 - 18:30,0.55,0.62
73,18:30 - 18:45,0.66,0.56
74,18:45 - 19:00,0.5,0.37
75,>>> 16:00 - 19:00,0.42,0.54
76,19:00 - 19:15,0.39,0.55
77,19:15 - 19:30,0.36,0.72
78,19:30 - 19:45,0.58,0.71
79,19:45 - 20:00,0.68,0.62
80,>>> 19:00 - 20:00,0.5,0.65
81,20:00 - 20:15,0.97,0.68
82,20:15 - 20:30,1.12,0.6
83,20:30 - 20:45,0.89,0.56
84,20:45 - 21:00,1.01,0.67
85,21:00 - 21:15,1.18,0.77
86,21:15 - 21:30,1.51,0.79
87,21:30 - 21:45,1.03,1.22
88,21:45 - 22:00,0.81,0.95
89,22:00 - 22:15,0.61,0.85
90,22:15 - 22:30,0.66,0.78
91,22:30 - 22:45,0.51,0.92
92,22:45 - 23:00,0.11,0.87
93,>>> 20:00 - 23:00,0.87,0.81
94,23:00 - 23:15,0.01,0.64
95,23:15 - 23:30,0.1,0.76
96,23:30 - 23:45,0,0.96
97,23:45 - 24:00,0.02,0.58
98,24:00 - 24:15,0.07,0.56
99,24:15 - 24:30,0.01,0.52
100,24:30 - 24:45,0.08,0.38
101,24:45 - 25:00,0.06,0.1
102,>>> 23:00 - 25:00,0.05,0.56
103,25:00 - 25:15,0.13,0.15
104,25:15 - 25:30,0.11,0.13
105,25:30 - 25:45,0.15,0.19
106,25:45 - 26:00,0.37,0.13
107,>>> 25:00 - 26:00,0.19,0.15
108,Whole day,0.31,0.33
