1,Timebands,Digi 24,Antena 3 CNN
2,02:00 - 02:15,0.2,0
3,02:15 - 02:30,0.26,0
4,02:30 - 02:45,0.16,0
5,02:45 - 03:00,0.09,0.01
6,03:00 - 03:15,0.09,0
7,03:15 - 03:30,0.15,0
8,03:30 - 03:45,0.18,0
9,03:45 - 04:00,0.17,0.05
10,04:00 - 04:15,0.17,0.09
11,04:15 - 04:30,0.18,0.03
12,04:30 - 04:45,0.26,0
13,04:45 - 05:00,0.22,0.04
14,05:00 - 05:15,0.17,0
15,05:15 - 05:30,0.18,0
16,05:30 - 05:45,0.21,0.07
17,05:45 - 06:00,0.33,0.33
18,>>> 2:00 - 6:00,0.19,0.04
19,06:00 - 06:15,0.45,0.36
20,06:15 - 06:30,0.44,0.21
21,06:30 - 06:45,0.22,0.28
22,06:45 - 07:00,0.24,0.22
23,07:00 - 07:15,0.28,0.27
24,07:15 - 07:30,0.25,0.31
25,07:30 - 07:45,0.33,0.25
26,07:45 - 08:00,0.17,0.1
27,08:00 - 08:15,0.4,0.21
28,08:15 - 08:30,0.42,0.39
29,08:30 - 08:45,0.55,0.5
30,08:45 - 09:00,0.44,0.4
31,>>> 6:00 - 9:00,0.35,0.29
32,09:00 - 09:15,0.28,0.3
33,09:15 - 09:30,0.38,0.35
34,09:30 - 09:45,0.36,0.38
35,09:45 - 10:00,0.23,0.33
36,10:00 - 10:15,0.21,0.28
37,10:15 - 10:30,0.14,0.34
38,10:30 - 10:45,0.17,0.53
39,10:45 - 11:00,0.1,0.61
40,11:00 - 11:15,0.08,0.56
41,11:15 - 11:30,0.13,0.62
42,11:30 - 11:45,0.11,0.45
43,11:45 - 12:00,0.26,0.5
44,>>> 9:00 - 12:00,0.2,0.44
45,12:00 - 12:15,0.25,0.54
46,12:15 - 12:30,0.46,0.57
47,12:30 - 12:45,0.33,0.63
48,12:45 - 13:00,0.3,0.8
49,13:00 - 13:15,0.23,0.73
50,13:15 - 13:30,0.1,0.81
51,13:30 - 13:45,0.1,0.82
52,13:45 - 14:00,0.17,0.91
53,14:00 - 14:15,0.08,1.02
54,14:15 - 14:30,0.14,1.05
55,14:30 - 14:45,0.18,0.64
56,14:45 - 15:00,0.27,0.69
57,>>> 12:00 - 15:00,0.22,0.77
58,15:00 - 15:15,0.45,0.65
59,15:15 - 15:30,0.53,0.8
60,15:30 - 15:45,0.72,0.86
61,15:45 - 16:00,0.71,0.91
62,>>> 15:00 - 16:00,0.6,0.8
63,16:00 - 16:15,0.71,0.88
64,16:15 - 16:30,0.88,1.08
65,16:30 - 16:45,1.07,1.07
66,16:45 - 17:00,0.72,1.6
67,17:00 - 17:15,0.35,1.14
68,17:15 - 17:30,0.39,1.01
69,17:30 - 17:45,0.4,0.89
70,17:45 - 18:00,0.48,0.83
71,18:00 - 18:15,0.48,1.2
72,18:15 - 18:30,0.49,1.18
73,18:30 - 18:45,0.57,1.55
74,18:45 - 19:00,0.9,1.11
75,>>> 16:00 - 19:00,0.62,1.13
76,19:00 - 19:15,0.42,1.16
77,19:15 - 19:30,0.3,1.23
78,19:30 - 19:45,0.34,1.26
79,19:45 - 20:00,0.37,1.41
80,>>> 19:00 - 20:00,0.36,1.27
81,20:00 - 20:15,0.63,1.39
82,20:15 - 20:30,0.64,1.53
83,20:30 - 20:45,0.47,1.12
84,20:45 - 21:00,0.66,1.26
85,21:00 - 21:15,1.15,1.25
86,21:15 - 21:30,1.27,1.36
87,21:30 - 21:45,0.86,1.38
88,21:45 - 22:00,0.99,1.78
89,22:00 - 22:15,0.88,1.46
90,22:15 - 22:30,0.82,1.13
91,22:30 - 22:45,0.59,1.36
92,22:45 - 23:00,0.43,0.94
93,>>> 20:00 - 23:00,0.78,1.33
94,23:00 - 23:15,0.58,0.61
95,23:15 - 23:30,0.53,0.56
96,23:30 - 23:45,0.48,0.44
97,23:45 - 24:00,0.24,0.24
98,24:00 - 24:15,0.46,0.32
99,24:15 - 24:30,0.4,0.25
100,24:30 - 24:45,0.3,0.23
101,24:45 - 25:00,0.2,0.23
102,>>> 23:00 - 25:00,0.4,0.36
103,25:00 - 25:15,0.2,0.14
104,25:15 - 25:30,0.2,0.08
105,25:30 - 25:45,0.24,0.02
106,25:45 - 26:00,0.17,0.01
107,>>> 25:00 - 26:00,0.2,0.06
108,Whole day,0.38,0.62
