1,Timebands,Digi 24,Antena 3 CNN
2,02:00 - 02:15,0.08,0.08
3,02:15 - 02:30,0.08,0.15
4,02:30 - 02:45,0.08,0.17
5,02:45 - 03:00,0.08,0.12
6,03:00 - 03:15,0.11,0.11
7,03:15 - 03:30,0.12,0.09
8,03:30 - 03:45,0.12,0.09
9,03:45 - 04:00,0.12,0.09
10,04:00 - 04:15,0.12,0.09
11,04:15 - 04:30,0.12,0.09
12,04:30 - 04:45,0.12,0.09
13,04:45 - 05:00,0.08,0
14,05:00 - 05:15,0,0
15,05:15 - 05:30,0.08,0
16,05:30 - 05:45,0.08,0.12
17,05:45 - 06:00,0.08,0.21
18,>>> 2:00 - 6:00,0.09,0.09
19,06:00 - 06:15,0.12,0.01
20,06:15 - 06:30,0.18,0.09
21,06:30 - 06:45,0.24,0.09
22,06:45 - 07:00,0.24,0.09
23,07:00 - 07:15,0.11,0.16
24,07:15 - 07:30,0.11,0.13
25,07:30 - 07:45,0.14,0.19
26,07:45 - 08:00,0.11,0.1
27,08:00 - 08:15,0.2,0.26
28,08:15 - 08:30,0.21,0.22
29,08:30 - 08:45,0.19,0.16
30,08:45 - 09:00,0.18,0.35
31,>>> 6:00 - 9:00,0.17,0.15
32,09:00 - 09:15,0.18,0.2
33,09:15 - 09:30,0.18,0.05
34,09:30 - 09:45,0.31,0.25
35,09:45 - 10:00,0.29,0.19
36,10:00 - 10:15,0.12,0.06
37,10:15 - 10:30,0.32,0.04
38,10:30 - 10:45,0.24,0.17
39,10:45 - 11:00,0.28,0.24
40,11:00 - 11:15,0.31,0.35
41,11:15 - 11:30,0.26,0.54
42,11:30 - 11:45,0.34,0.39
43,11:45 - 12:00,0.29,0.37
44,>>> 9:00 - 12:00,0.26,0.24
45,12:00 - 12:15,0.4,0.32
46,12:15 - 12:30,0.6,0.22
47,12:30 - 12:45,0.41,0.17
48,12:45 - 13:00,0.49,0.13
49,13:00 - 13:15,0.52,0.39
50,13:15 - 13:30,0.31,0.54
51,13:30 - 13:45,0.41,0.74
52,13:45 - 14:00,0.53,1.01
53,14:00 - 14:15,0.44,0.89
54,14:15 - 14:30,0.28,0.99
55,14:30 - 14:45,0.26,1.16
56,14:45 - 15:00,0.22,0.93
57,>>> 12:00 - 15:00,0.41,0.62
58,15:00 - 15:15,0.43,0.99
59,15:15 - 15:30,0.36,1.26
60,15:30 - 15:45,0.23,1.33
61,15:45 - 16:00,0.56,1.2
62,>>> 15:00 - 16:00,0.39,1.2
63,16:00 - 16:15,0.65,1.13
64,16:15 - 16:30,0.54,1.19
65,16:30 - 16:45,0.54,1.45
66,16:45 - 17:00,0.75,1.21
67,17:00 - 17:15,0.54,1.06
68,17:15 - 17:30,0.41,1.02
69,17:30 - 17:45,0.43,1.07
70,17:45 - 18:00,0.61,1.05
71,18:00 - 18:15,0.66,1.04
72,18:15 - 18:30,0.81,1.16
73,18:30 - 18:45,0.81,1.49
74,18:45 - 19:00,0.73,1.19
75,>>> 16:00 - 19:00,0.62,1.17
76,19:00 - 19:15,0.45,1.5
77,19:15 - 19:30,0.41,1.6
78,19:30 - 19:45,0.41,1.04
79,19:45 - 20:00,0.58,0.75
80,>>> 19:00 - 20:00,0.46,1.22
81,20:00 - 20:15,0.81,0.71
82,20:15 - 20:30,1.16,0.84
83,20:30 - 20:45,1.03,0.97
84,20:45 - 21:00,0.91,1.14
85,21:00 - 21:15,0.93,1.06
86,21:15 - 21:30,0.88,0.97
87,21:30 - 21:45,1.08,1.12
88,21:45 - 22:00,0.88,1.13
89,22:00 - 22:15,0.84,0.9
90,22:15 - 22:30,0.6,1.04
91,22:30 - 22:45,0.52,1.14
92,22:45 - 23:00,0.36,0.73
93,>>> 20:00 - 23:00,0.83,0.98
94,23:00 - 23:15,0.25,0.81
95,23:15 - 23:30,0.15,0.87
96,23:30 - 23:45,0.07,0.62
97,23:45 - 24:00,0.12,0.38
98,24:00 - 24:15,0.09,0.37
99,24:15 - 24:30,0.09,0.23
100,24:30 - 24:45,0.09,0.06
101,24:45 - 25:00,0.09,0
102,>>> 23:00 - 25:00,0.12,0.42
103,25:00 - 25:15,0.09,0.02
104,25:15 - 25:30,0.13,0
105,25:30 - 25:45,0.22,0
106,25:45 - 26:00,0.15,0
107,>>> 25:00 - 26:00,0.15,0
108,Whole day,0.35,0.55
